"method","loc","cyclo","calls","nbd","param"
"org.jkiss.dbeaver.registry.driver.DriverDescriptorSerializerLegacy.serialize(XMLBuilder xml, boolean export)",117,29,127,7,2
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetPresentation$ContentProvider.getCellBackground(Object colElement, Object rowElement, boolean cellSelected, boolean ignoreRowSelection)",93,29,36,6,4
"org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferConsumer.fetchStart(DBCSession session, DBCResultSet resultSet, long offset, long maxRows)",127,29,52,5,4
"org.jkiss.dbeaver.ext.generic.model.GenericProcedure.loadProcedureColumns(DBRProgressMonitor monitor)",126,29,61,5,1
"org.jkiss.dbeaver.model.impl.sql.edit.struct.SQLTableManager.getTableDDL(DBRProgressMonitor monitor, OBJECT_TYPE table, Map<String,Object> options)",121,29,64,5,3
"org.jkiss.dbeaver.ui.editors.sql.util.SQLSymbolInserter.verifyKey(VerifyEvent event)",152,29,52,4,1
"org.jkiss.dbeaver.ext.mysql.MySQLDataSourceProvider.findLocalClients()",95,28,55,9,0
"org.jkiss.dbeaver.model.impl.jdbc.cache.JDBCStructCache.loadChildren(DBRProgressMonitor monitor, OWNER owner, @Nullable final OBJECT forObject)",114,28,41,8,3
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetPresentation.fillContextMenu(@NotNull IMenuManager manager, @Nullable Object colObject, @Nullable Object rowObject)",143,28,78,6,3
"org.jkiss.dbeaver.ui.controls.CustomFormEditor.createEditorControl(Composite parent, Object object, DBPPropertyDescriptor property, Object value, boolean readOnly)",120,28,60,6,5
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerObjectCreateBase.createNewObject(final IWorkbenchWindow workbenchWindow, DBNNode element, @Nullable Class<?> newObjectType, DBNDatabaseNode copyFrom, boolean isFolder)",112,28,40,6,5
"org.jkiss.dbeaver.registry.maven.MavenArtifactVersion.parseDependencies(@NotNull DBRProgressMonitor monitor, @NotNull Element element, boolean depManagement, boolean resolveOptionalDependencies)",111,28,41,6,4
"org.jkiss.dbeaver.ext.oracle.model.OracleStructureAssistant.searchAllObjects(final JDBCSession session, final OracleSchema schema, @NotNull ObjectsSearchParams params, List<DBSObjectReference> objects)",116,28,107,5,4
"org.jkiss.dbeaver.tools.transfer.DataTransferSettings.loadSettings(Map<String,Object> config)",110,28,56,5,1
"org.jkiss.dbeaver.ui.navigator.NavigatorAdapterFactory.getAdapter(Object adaptableObject, Class<T> adapterType)",102,28,31,3,2
"org.jkiss.dbeaver.tools.project.ProjectImportWizard.importDriver(DBRProgressMonitor monitor, Element driverElement, ZipFile zipFile, Map<String,String> libMap, Map<String,String> driverMap)",137,27,75,8,5
"org.jkiss.dbeaver.ui.editors.sql.execute.SQLQueryJob.executeSingleQuery(@NotNull DBCSession session, @NotNull SQLScriptElement element, final boolean fireEvents)",154,27,63,7,3
"org.jkiss.dbeaver.ext.postgresql.edit.PostgreTableManagerBase.addObjectExtraActions(DBRProgressMonitor monitor, DBCExecutionContext executionContext, List<DBEPersistAction> actions, NestedObjectCommand<PostgreTableBase,PropertyHandler> command, Map<String,Object> options)",92,27,51,6,5
"org.jkiss.dbeaver.ui.controls.resultset.panel.grouping.GroupingResultsContainer.rebuildGrouping()",108,27,86,4,0
"org.jkiss.dbeaver.ext.generic.views.GenericConnectionPage.loadSettings()",80,27,74,3,0
"org.jkiss.dbeaver.ext.postgresql.model.PostgreGenericTypeCache.fetchObject(@NotNull JDBCSession session, @NotNull GenericStructContainer owner, @NotNull JDBCResultSet dbResult)",108,27,18,2,3
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer.setActivePresentation(@NotNull IResultSetPresentation presentation)",163,26,74,8,1
"org.jkiss.dbeaver.model.virtual.DBVModelSerializerLegacy$ModelParser.saxStartElement(SAXReader reader, String namespaceURI, String localName, Attributes atts)",105,26,51,8,4
"org.jkiss.dbeaver.registry.DataSourceSerializerModern.saveDataSources(DBRProgressMonitor monitor, DBPDataSourceConfigurationStorage configurationStorage, List<DataSourceDescriptor> localDataSources, File configFile)",173,26,131,7,4
"org.jkiss.dbeaver.ext.import_config.wizards.dbvis.ConfigImportWizardPageDbvis.loadConnections(ImportData importData)",109,26,52,7,1
