"method","loc","cyclo","calls","nbd","param"
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.getServerTypeName()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsAggregates()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsEncodings()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsExplainPlan()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsExplainPlanVerbose()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsExplainPlanXML()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsExtensions()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsForeignServers()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsFunctionCreate()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsFunctionDefRead()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsIndexes()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsInheritance()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsLocks()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsMaterializedViews()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsOids()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsPartitions()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsRelationSizeCalc()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsResultSetLimits()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsRoles()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsRules()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsSequences()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsSessionActivity()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsTablespaces()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsTeblespaceLocation()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerYugabyteDB.supportsTriggers()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLock.getHoldID()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLock.getHold_pid()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLock.getHold_user()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLock.getId()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLock.getStatement_in()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLock.getWait_pid()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLock.getWait_statement()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLock.getWait_user()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLock.waitThis()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLockItem.getDatname()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLockItem.getDetail()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLockItem.getLocktype()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLockItem.getMode()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLockItem.getRelation()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLockItem.getTid()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.model.lock.PostgreLockItem.isGranted()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreBackupRestoreSettings.getExt()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseBackupInfo.getSchemas()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseBackupInfo.getTables()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseBackupRestoreInfo.getDatabase()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreToolBaseVacuumSettings.isAnalyzed()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreToolBaseVacuumSettings.isDisableSkipping()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreToolBaseVacuumSettings.isFreeze()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreToolBaseVacuumSettings.isFull()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreToolBaseVacuumSettings.isIndexCleaning()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreToolBaseVacuumSettings.isSkipLocked()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreToolBaseVacuumSettings.isTruncated()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreToolMViewRefreshSettings.isWithData()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreToolTableTriggerDisable.createToolSettings()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreToolTableTriggerEnable.createToolSettings()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreVersionValidator12.getMajorVersion()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreVersionValidator12.getMinorVersion()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreVersionValidator9and6.getMajorVersion()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreVersionValidator9and6.getMinorVersion()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tools.PostgreScriptExecuteWizard.createSettings()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tools.PostgreScriptExecuteWizard.getTaskTypeId()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.tools.PostgreScriptExecuteWizard.isVerbose()",3,1,0,0,0
"org.jkiss.dbeaver.ext.postgresql.ui.PostgreAuthPgPassConfigurator.isComplete()",3,1,0,0,0
"org.jkiss.dbeaver.ext.spanner.model.SpannerSQLDialect.getIdentifierQuoteStrings()",3,1,0,0,0
"org.jkiss.dbeaver.ext.sqlite.model.SQLiteDataSourceProvider.getFeatures()",3,1,0,0,0
"org.jkiss.dbeaver.ext.sqlite.model.SQLiteDataType.getAffinity()",3,1,0,0,0
"org.jkiss.dbeaver.ext.sqlite.model.SQLiteSQLDialect.supportsAliasInSelect()",3,1,0,0,0
"org.jkiss.dbeaver.ext.sqlite.model.SQLiteSQLDialect.supportsAlterTableStatement()",3,1,0,0,0
"org.jkiss.dbeaver.ext.sqlite.model.SQLiteSQLDialect.supportsInsertAllDefaultValuesStatement()",3,1,0,0,0
"org.jkiss.dbeaver.ext.sqlite.model.SQLiteView.isTruncateSupported()",3,1,0,0,0
"org.jkiss.dbeaver.ext.teradata.model.TeradataSQLDialect.supportsAliasInSelect()",3,1,0,0,0
"org.jkiss.dbeaver.ext.teradata.model.TeradataTable.isCacheDDL()",3,1,0,0,0
"org.jkiss.dbeaver.ext.test.ui.TestDialog.isResizable()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaConstraint.isEnabled()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaFlexTable.isPhysicalTable()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getCatalogPath()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getDataSource()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getDescription()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getExportAddress()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getExportAddressFamily()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getLastMsgFromNodeAt()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getNodeAddress()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getNodeAddressFamily()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getNodeDownSince()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getNodeState()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getNodeType()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getParentObject()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.getStandingInFor()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.isEphemeral()",3,1,0,0,0
"org.jkiss.dbeaver.ext.vertica.model.VerticaNode.isPersisted()",3,1,0,0,0
"org.jkiss.dbeaver.ext.wmi.model.WMIDataSourceInfo.getDatabaseVersion()",3,1,0,0,0
"org.jkiss.dbeaver.ext.wmi.model.WMIDataSourceInfo.supportsResultSetLimit()",3,1,0,0,0
"org.jkiss.dbeaver.ext.wmi.model.WMIDataSourceInfo.supportsStoredCode()",3,1,0,0,0
"org.jkiss.dbeaver.ext.wmi.model.WMIValueMeta.getQualifiers()",3,1,0,0,0
"org.jkiss.dbeaver.headless.DBeaverHeadlessApplication.getDefaultProjectName()",3,1,0,0,0
"org.jkiss.dbeaver.lang.SCMKeywordToken.getData()",3,1,0,0,0
"org.jkiss.dbeaver.lang.SCMKeywordToken.isEOF()",3,1,0,0,0
"org.jkiss.dbeaver.lang.SCMKeywordToken.isOther()",3,1,0,0,0
"org.jkiss.dbeaver.lang.SCMKeywordToken.isUndefined()",3,1,0,0,0
"org.jkiss.dbeaver.lang.SCMKeywordToken.isWhitespace()",3,1,0,0,0
"org.jkiss.dbeaver.lang.SCMLeafNode.getBeginOffset()",3,1,0,0,0
"org.jkiss.dbeaver.lang.SCMLeafNode.getEndOffset()",3,1,0,0,0
"org.jkiss.dbeaver.model.DBPDataSource.getSQLDialect()",3,1,0,0,0
"org.jkiss.dbeaver.model.DBPDataSourceContainer.isExternallyProvided()",3,1,0,0,0
"org.jkiss.dbeaver.model.DBPDataSourceInfo.isDynamicMetadata()",3,1,0,0,0
"org.jkiss.dbeaver.model.DBPDataSourceInfo.isMultipleResultsFetchBroken()",3,1,0,0,0
"org.jkiss.dbeaver.model.DBPDataSourceInfo.supportsMultipleResults()",3,1,0,0,0
"org.jkiss.dbeaver.model.DBPEvent.getAction()",3,1,0,0,0
"org.jkiss.dbeaver.model.DBPEvent.getData()",3,1,0,0,0
"org.jkiss.dbeaver.model.access.DBAPrivilegeGrant.getPrivileges()",3,1,0,0,0
"org.jkiss.dbeaver.model.access.DBASession.isApplicationSession()",3,1,0,0,0
"org.jkiss.dbeaver.model.admin.sessions.AbstractServerSession.getActiveQueryId()",3,1,0,0,0
"org.jkiss.dbeaver.model.admin.sessions.AbstractServerSessionDetails.getDetailsIcon()",3,1,0,0,0
"org.jkiss.dbeaver.model.admin.sessions.AbstractServerSessionDetails.getDetailsTitle()",3,1,0,0,0
"org.jkiss.dbeaver.model.admin.sessions.AbstractServerSessionDetails.getDetailsTooltip()",3,1,0,0,0
"org.jkiss.dbeaver.model.app.DBPApplication.getDefaultProjectName()",3,1,0,0,0
"org.jkiss.dbeaver.model.app.DBPApplication.isHeadlessMode()",3,1,0,0,0
"org.jkiss.dbeaver.model.app.DBPDataSourceRegistry.getProject()",3,1,0,0,0
"org.jkiss.dbeaver.model.data.DBDAttributeBindingNested.getParentObject()",3,1,0,0,0
"org.jkiss.dbeaver.model.data.DBDAttributeReferrer.getAttribute()",3,1,0,0,0
"org.jkiss.dbeaver.model.data.DBDContent.resetContents()",3,1,0,0,0
"org.jkiss.dbeaver.model.data.DBDValue.isModified()",3,1,0,0,0
"org.jkiss.dbeaver.model.data.DBDValue.release()",3,1,0,0,0
"org.jkiss.dbeaver.model.edit.DBECommand.isDisableSessionLogging()",3,1,0,0,0
"org.jkiss.dbeaver.model.edit.prop.DBECommandComposite.getProperties()",3,1,0,0,0
"org.jkiss.dbeaver.model.exec.DBCExecutionContext.getContextId()",3,1,0,0,0
"org.jkiss.dbeaver.model.exec.DBCServerOutputReader.isAsyncOutputReadSupported()",3,1,0,0,0
"org.jkiss.dbeaver.model.exec.jdbc.JDBCSession.createStatement()",3,1,0,0,0
"org.jkiss.dbeaver.model.exec.jdbc.JDBCSession.getMetaData()",3,1,0,0,0
"org.jkiss.dbeaver.model.exec.jdbc.JDBCStatement.getResultSet()",3,1,0,0,0
"org.jkiss.dbeaver.model.exec.plan.DBCQueryPlannerConfiguration.getParameters()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.getDatabaseProductDetails()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.getSupportedObjectTypes()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.getSupportedTransactionsIsolation()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.isDynamicMetadata()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.isMultipleResultsFetchBroken()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.needsTableMetaForColumnResolution()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.supportsIndexes()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.supportsMultipleResults()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.supportsNullableUniqueConstraints()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.supportsReferentialIntegrity()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.supportsResultSetLimit()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.supportsResultSetOrdering()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.supportsResultSetScroll()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.supportsSavepoints()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.supportsStoredCode()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractDataSourceInfo.supportsTransactions()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractResultSet.getResultSetName()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractResultSet.getRowMeta()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractResultSet.getSession()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractResultSet.getSourceStatement()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.AbstractStatement.getSession()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.SimpleTypedObject.getDataKind()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.SimpleTypedObject.getMaxLength()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.SimpleTypedObject.getPrecision()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.SimpleTypedObject.getScale()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.SimpleTypedObject.getTypeID()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.SimpleTypedObject.getTypeModifiers()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.SimpleTypedObject.getTypeName()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.VoidExecutionContextDefaults.getDefaultCatalog()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.VoidExecutionContextDefaults.getDefaultSchema()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.VoidExecutionContextDefaults.supportsCatalogChange()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.VoidExecutionContextDefaults.supportsSchemaChange()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.app.DefaultSecureStorage.getLocalSecretKey()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.app.DefaultSecureStorage.useSecurePreferences()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.auth.AuthModelDatabaseNativeCredentials.getUserName()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.auth.AuthModelDatabaseNativeCredentials.getUserPassword()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.auth.AuthModelDatabaseNativeCredentials.isComplete()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.data.AbstractContent.isModified()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.data.DBDValueError.getRawValue()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.data.DBDValueError.isModified()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.data.DBDValueError.isNull()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.data.DBDValueError.release()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.data.formatters.DateFormatSample.getSampleValue()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.data.formatters.TimeFormatSample.getSampleValue()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.data.formatters.TimeTzFormatSample.getSampleValue()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.data.transformers.TransformerPresentationAttribute.getDataKind()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.edit.DBECommandAbstract.isDisableSessionLogging()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.edit.DBECommandAbstract.updateModel()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.edit.DBECommandAdapter.onReset()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.edit.DBECommandAdapter.onSave()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.edit.DirectDatabasePersistAction.isComplex()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.edit.SQLDatabasePersistAction.isComplex()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.edit.SQLScriptCommand.updateModel()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCArrayImpl.free()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCArrayImpl.getArray()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCArrayImpl.getBaseType()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCArrayImpl.getBaseTypeName()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCArrayImpl.getResultSet()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCStructImpl.getAttributes()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCStructImpl.getSQLTypeName()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCStructImpl.toString()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCUnknownType.getType()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCUnknownType.getValue()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCUnknownType.toString()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCPreparedStatementCachedImpl.close()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCVoidStatementImpl.closeOnCompletion()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCVoidStatementImpl.isCloseOnCompletion()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.struct.JDBCTableIndex.getContainer()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.jdbc.struct.JDBCTableIndex.isPersisted()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.local.LocalResultSetMeta.getAttributes()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.local.LocalStatement.addToBatch()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.local.LocalStatement.close()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.local.LocalStatement.executeStatement()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.local.LocalStatement.executeStatementBatch()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.local.LocalStatement.getQueryString()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.local.LocalStatement.getStatementWarnings()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.local.LocalStatement.getUpdateRowCount()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.local.LocalStatement.nextResults()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.local.LocalStatement.openGeneratedKeysResultSet()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.local.LocalStatement.openResultSet()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.net.HTTPTunnelImpl.getImplementation()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.plan.AbstractExecutionPlanNode.getNodeCondition()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.plan.AbstractExecutionPlanNode.getNodeDescription()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.plan.AbstractExecutionPlanNode.getNodeKind()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.sql.RelationalSQLDialect.isAmbiguousCountBroken()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.sql.RelationalSQLDialect.isStandardSQL()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.struct.AbstractDataType.getMaxLength()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.struct.AbstractDataType.getMaxScale()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.struct.AbstractDataType.getMinScale()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.struct.AbstractDataType.getPrecision()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.struct.AbstractDataType.getScale()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.struct.AbstractDataType.getTypeModifiers()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.struct.AbstractDataType.isPersisted()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.struct.AbstractTable.getContainer()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.struct.AbstractTableIndex.isPrimary()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.struct.AbstractTrigger$TriggerTimingListProvider.allowCustomValue()",3,1,0,0,0
"org.jkiss.dbeaver.model.impl.struct.AbstractTrigger$TriggerTypeListProvider.allowCustomValue()",3,1,0,0,0
"org.jkiss.dbeaver.model.navigator.DBNEmptyNode.DBNEmptyNode()",3,1,0,0,0
"org.jkiss.dbeaver.model.navigator.DBNEmptyNode.getNodeItemPath()",3,1,0,0,0
"org.jkiss.dbeaver.model.navigator.DBNEvent.getAction()",3,1,0,0,0
"org.jkiss.dbeaver.model.navigator.DBNEvent.getNodeChange()",3,1,0,0,0
"org.jkiss.dbeaver.model.navigator.DBNEvent.getSource()",3,1,0,0,0
"org.jkiss.dbeaver.model.navigator.DBNEvent.toString()",3,1,0,0,0
"org.jkiss.dbeaver.model.navigator.meta.DBXTreeObject.getDescription()",3,1,0,0,0
"org.jkiss.dbeaver.model.navigator.meta.DBXTreeObject.getEditorId()",3,1,0,0,0
"org.jkiss.dbeaver.model.navigator.meta.DBXTreeObject.toString()",3,1,0,0,0
"org.jkiss.dbeaver.model.net.DBWHandlerDescriptor.getType()",3,1,0,0,0
"org.jkiss.dbeaver.model.net.ssh.config.SSHAuthConfiguration.getType()",3,1,0,0,0
"org.jkiss.dbeaver.model.net.ssh.config.SSHAuthConfiguration.usingAgent()",3,1,0,0,0
"org.jkiss.dbeaver.model.net.ssh.config.SSHHostConfiguration.getAuthConfiguration()",3,1,0,0,0
"org.jkiss.dbeaver.model.net.ssh.config.SSHHostConfiguration.getHostname()",3,1,0,0,0
"org.jkiss.dbeaver.model.net.ssh.config.SSHHostConfiguration.getUsername()",3,1,0,0,0
"org.jkiss.dbeaver.model.net.ssh.config.SSHPortForwardConfiguration.getLocalHost()",3,1,0,0,0
"org.jkiss.dbeaver.model.net.ssh.config.SSHPortForwardConfiguration.getRemoteHost()",3,1,0,0,0
"org.jkiss.dbeaver.model.qm.meta.QMMObject.getCloseTime()",3,1,0,0,0
"org.jkiss.dbeaver.model.qm.meta.QMMObject.getObjectId()",3,1,0,0,0
"org.jkiss.dbeaver.model.qm.meta.QMMObject.getOpenTime()",3,1,0,0,0
"org.jkiss.dbeaver.model.qm.meta.QMMObject.isClosed()",3,1,0,0,0
"org.jkiss.dbeaver.model.qm.meta.QMMObject.isSynced()",3,1,0,0,0
"org.jkiss.dbeaver.model.qm.meta.QMMObject.isUpdated()",3,1,0,0,0
"org.jkiss.dbeaver.model.qm.meta.QMMObject.update()",3,1,0,0,0
"org.jkiss.dbeaver.model.qm.meta.QMMStatementInfo.getPrevious()",3,1,0,0,0
"org.jkiss.dbeaver.model.qm.meta.QMMStatementInfo.getPurpose()",3,1,0,0,0
"org.jkiss.dbeaver.model.qm.meta.QMMStatementInfo.getReference()",3,1,0,0,0
"org.jkiss.dbeaver.model.qm.meta.QMMStatementInfo.getSession()",3,1,0,0,0
"org.jkiss.dbeaver.model.runtime.BaseProgressMonitor.done()",3,1,0,0,0
"org.jkiss.dbeaver.model.runtime.DBRRunnableWithResult.getResult()",3,1,0,0,0
"org.jkiss.dbeaver.model.runtime.LoggingProgressMonitor$LoggingMonitorProxy.done()",3,1,0,0,0
"org.jkiss.dbeaver.model.runtime.LoggingProgressMonitor$LoggingMonitorProxy.isCanceled()",3,1,0,0,0
"org.jkiss.dbeaver.model.runtime.RunnableWithResult.getResult()",3,1,0,0,0
"org.jkiss.dbeaver.model.runtime.SubTaskProgressMonitor.done()",3,1,0,0,0
"org.jkiss.dbeaver.model.runtime.VoidProgressMonitor.done()",3,1,0,0,0
"org.jkiss.dbeaver.model.runtime.features.DBRFeature.toString()",3,1,0,0,0
"org.jkiss.dbeaver.model.runtime.features.DBRNotificationDescriptor.getAction()",3,1,0,0,0
"org.jkiss.dbeaver.model.runtime.load.DatabaseLoadService.getFamily()",3,1,0,0,0
"org.jkiss.dbeaver.model.sql.SQLDialect.isDelimiterAfterBlock()",3,1,0,0,0
"org.jkiss.dbeaver.model.sql.SQLDialect.isDelimiterAfterQuery()",3,1,0,0,0
"org.jkiss.dbeaver.model.sql.SQLDialect.supportsCommentQuery()",3,1,0,0,0
"org.jkiss.dbeaver.model.sql.analyzer.builder.Builder$Consumer.empty()",3,1,0,0,0
"org.jkiss.dbeaver.model.sql.analyzer.builder.Builder.getChildren()",3,1,0,0,0
