"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.jkiss.dbeaver.model.impl.sql.SQLQueryTransformerCount",97,3,1,20,14,4,2,7,3,1.3333333333333333
"org.jkiss.dbeaver.ext.db2.ui.internal.DB2Messages",97,1,0,1,1,0,11,1,87,0.0
"org.jkiss.dbeaver.ui.dashboard.internal.UIDashboardMessages",97,1,0,1,1,0,12,1,88,0.0
"org.jkiss.dbeaver.ext.mssql.SQLServerConstants",97,0,0,1,4,4,19,4,87,0.0
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetCopySettings",96,22,22,23,1,0,4,0,10,0.7857142857142857
"org.jkiss.dbeaver.ext.mssql.model.SQLServerTableCheckConstraint",96,14,14,14,15,9,3,14,6,0.8076923076923077
"org.jkiss.dbeaver.ext.postgresql.model.PostgreAggregate",96,14,13,19,13,6,1,10,5,0.8461538461538461
"org.jkiss.dbeaver.lang.SCMGroupNode",96,14,14,30,7,2,2,7,2,0.9615384615384616
"org.jkiss.dbeaver.ui.controls.resultset.panel.references.ReferencesPanel",96,13,9,15,14,3,0,5,7,0.75
"org.jkiss.dbeaver.ext.oracle.data.OracleContentOpaque",96,12,8,18,17,11,0,13,3,0.9090909090909091
"org.jkiss.dbeaver.tools.transfer.stream.StreamProducerSettings",96,10,10,16,15,8,1,12,4,0.9166666666666666
"org.jkiss.dbeaver.ext.generic.model.meta.GenericMetaModelDescriptor",96,9,9,16,13,7,1,12,8,0.625
"org.jkiss.dbeaver.ext.mssql.model.SQLServerTableType",96,9,9,14,19,11,2,12,1,1.0
"org.jkiss.dbeaver.tools.transfer.CSVImporterTest",96,9,8,10,19,5,0,8,5,1.0
"org.jkiss.dbeaver.erd.ui.layout.algorithm.direct.ClusterEdgeCreator",96,7,3,17,4,0,0,5,8,0.5416666666666666
"org.jkiss.dbeaver.ext.exasol.manager.ExasolPrimaryKeyManager",96,7,2,9,21,17,0,19,0,0.0
"org.jkiss.dbeaver.ext.oracle.edit.OraclePackageManager",96,7,2,11,18,13,0,16,0,0.0
"org.jkiss.dbeaver.ext.db2.model.cache.DB2MaterializedQueryTableCache",96,5,2,10,14,9,0,11,4,0.9375
"org.jkiss.dbeaver.ext.vertica.VerticaUtils",96,2,2,39,16,11,3,13,1,1.0
"org.jkiss.dbeaver.ext.generic.model.GenericSequence",95,15,15,15,9,4,2,7,7,0.7857142857142857
"org.jkiss.dbeaver.model.virtual.DBVTransformSettings",95,15,15,29,3,2,5,6,3,0.9285714285714286
"org.jkiss.dbeaver.model.navigator.DBNDatabaseObject",95,14,12,21,9,6,2,11,1,1.0
"org.jkiss.dbeaver.ui.controls.finder.viewer.AdvancedListViewer",95,14,7,18,12,4,1,7,2,0.9615384615384616
"org.jkiss.dbeaver.ui.data.managers.image.ImageEditorPart",95,13,11,17,19,6,1,9,2,0.9583333333333334
"org.jkiss.dbeaver.tools.project.ProjectImportData",95,11,11,15,12,2,1,4,4,0.9
"org.jkiss.dbeaver.ext.oracle.data.OracleXMLWrapper",95,10,10,13,10,1,1,1,1,1.0
"org.jkiss.dbeaver.ext.exasol.manager.ExasolPriorityGroupManager",95,9,3,12,18,15,0,20,0,0.0
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetPresentationRegistry",95,9,8,24,9,3,2,4,6,0.8125
"org.jkiss.dbeaver.tools.transfer.ui.handlers.DataImportHandler",95,4,1,18,19,16,0,20,1,1.0
"org.jkiss.dbeaver.ui.controls.TableColumnSortListener",95,4,2,22,7,0,4,5,4,0.5
"org.jkiss.dbeaver.model.DBPDataSourceContainer",94,50,50,50,22,17,318,21,0,0.0
"org.jkiss.dbeaver.model.runtime.features.DBRFeature",94,19,16,19,3,0,9,1,9,0.7901234567901234
"org.jkiss.dbeaver.model.connection.DBPConnectionBootstrap",94,17,17,19,6,3,12,4,6,0.84375
"org.jkiss.dbeaver.ext.mssql.model.SQLServerSequence",94,12,12,13,10,5,1,8,9,0.6363636363636364
"org.jkiss.dbeaver.ext.exasol.manager.ExasolScriptManager",94,10,2,16,17,14,0,16,0,0.0
"org.jkiss.dbeaver.ext.hive.model.HiveMetaModel",94,9,9,15,19,13,0,17,0,0.0
"org.jkiss.dbeaver.ext.oracle.sql.OracleDialectRules",94,7,5,29,6,1,1,5,2,0.9166666666666666
"org.jkiss.dbeaver.registry.driver.DriverDependencies",94,7,5,21,7,5,2,9,4,0.75
"org.jkiss.dbeaver.tasks.ui.view.TaskHandlerFolderCreate",94,7,5,10,22,11,0,14,3,0.8333333333333334
"org.jkiss.dbeaver.registry.DataSourceDescriptorManager",94,6,6,15,17,15,0,18,0,0.0
"org.jkiss.dbeaver.ext.mssql.model.generic.SQLServerGenericDataSource",94,6,4,19,23,18,2,20,2,0.9
"org.jkiss.dbeaver.ext.postgresql.model.impls.redshift.RedshiftView",94,6,4,15,20,14,2,18,2,0.9
"org.jkiss.dbeaver.ext.db2.model.cache.DB2ViewCache",94,5,2,10,14,9,0,11,4,1.0
"org.jkiss.dbeaver.erd.ui.model.ERDObjectAdapter",94,4,3,29,20,17,0,22,0,0.0
"org.jkiss.dbeaver.ui.editors.xml.XMLDoubleClickStrategy",94,4,1,19,5,1,1,4,2,0.8333333333333334
"org.jkiss.dbeaver.model.impl.jdbc.JDBCConstants",94,0,0,1,0,0,18,0,90,0.0
"org.jkiss.dbeaver.ext.exasol.model.ExasolCurrentUserPrivileges",93,14,12,15,8,5,1,6,7,0.8351648351648352
"org.jkiss.dbeaver.ui.properties.PropertyDescriptorDelegate",93,12,12,15,14,5,1,6,3,0.9696969696969696
"org.jkiss.dbeaver.ext.mssql.edit.SQLServerProcedureManager",93,9,2,17,20,15,0,17,0,0.0
"org.jkiss.dbeaver.ext.netezza.model.NetezzaSQLDialect",93,7,7,8,11,7,2,9,4,0.9166666666666666
"org.jkiss.dbeaver.registry.datatype.DataTypeProviderRegistry",93,7,6,30,13,5,2,8,4,0.9583333333333334
"org.jkiss.dbeaver.ext.vertica.edit.VerticaTableColumnManager",93,5,2,16,18,14,0,18,3,1.0833333333333333
